"","Year","PME","PMWHO","COE","AME","MEE","ANOE","NOE","ME","NOEE","Year","PME","PMWHO","COE","AME","MEE","ANOE","NOE","ME","NOEE","Year","PME","PMWHO","COE","AME","MEE","ANOE","NOE","ME","NOEE","Year","PME","PMWHO","COE","AME","MEE","ANOE","NOE","ME","NOEE"
"1","1990-1994",30.0109121301139,94.6598712156949,4.14981103456508,17375.8232044199,13468.7763157895,10078.7888888889,12357.0108695652,35529.0001055712,1227.80141843972,"1990-1994",91.6363886567687,100,31.2574932250683,440346,419008,259498,304770,784766.003417969,45026,"1990-1994",6.73229822202624,0,0.00112861066226896,0,0,0,0,0,0,"1990-1994",17.1084023413853,19.0382826491973,5.42503238872081,49564.958577291,46623.8439092787,27481.1727271231,33623.0819312754,100520.389496573,4378.88111804808
"2","1995-1999",29.6315515887599,94.3791236736143,4.18156799203593,17294.1208791209,14041.012987013,10396.5856353591,13097.4239130435,36383.0759794917,1311.11267605634,"1995-1999",90.6871644933824,100,44.6969595440712,453236,360564,309500,368794,829052.001953125,49812,"1995-1999",6.83956834251255,0,0.000677958965118416,0,0,0,0,9.99999977648258,0,"1995-1999",17.1419888405889,19.8799355884826,5.77722818548815,50865.7030979993,45630.4405913631,30637.0396827401,37664.1883801175,100803.507077129,4812.110782785
"3","2000-2004",29.5537340392077,94.2947003220144,4.36273354874802,17525.6813186813,15258.6322580645,10730.2747252747,13518.5108695652,37514.978321095,1440.44444444444,"2000-2004",88.9430216973703,100,49.1665246434605,455594,397426,313700,393534,818982.019042969,53372,"2000-2004",6.88451352392684,0,0.0293845838178066,0,0,0,0,9.99999977648258,10,"2000-2004",17.0388431048186,20.1217334823159,6.03671006757467,51505.2518908496,49382.2064924724,31375.6187672703,39287.6823052457,101500.993636091,5254.3589387319
"4","2005-2009",29.0336535589966,94.2192736125192,4.57108647261278,18208.4065934066,17577.0769230769,11399.5824175824,14401.902173913,40119.4998661137,1625.15862068966,"2005-2009",93.218247559259,100,39.5638292775712,480764,510152,337904,451332,968259.985351564,55436,"2005-2009",7.0370872787156,0.724678785882815,0.0221012853884716,0,0,0,0,9.99999977648258,12,"2005-2009",16.6369942183148,20.2451895104433,5.76164822318637,53363.1721657425,60335.895390618,33766.324956088,43639.1625261009,110877.020302608,5922.09661010245
"5","2010-2014",28.4813216607452,93.259340375705,4.36751226359876,18651.0989010989,19160.8407643312,12110.5384615385,15274.5543478261,42168.0327007952,1777.8401826484,"2010-2014",98.3887564569104,100,33.2243543983857,486256,649692,351554,510308,1124966.015625,53968,"2010-2014",6.76449875031001,0.294438413633413,0.0365867160708269,0,0,0,0,9.99999977648258,20,"2010-2014",16.9305389970105,21.4950680785293,5.2662070895878,53709.814264758,69718.3512574545,35743.6678871783,48057.722966887,120554.438855702,6380.01792923401
"6","2015-2019",28.0996288595239,90.276724986853,4.15689477242357,19041.7472527473,20021.7324840764,12535,16024.4130434783,43811.500022281,1893.04109589041,"2015-2019",98.0139519764342,100,32.2918780659854,495224,653622,349274,549462,1149251.97753906,55272,"2015-2019",5.93964094538122,0,0.0364379529041331,0,0,0,0,9.99999977648258,14,"2015-2019",19.000641059939,25.7191638182165,4.86695737557822,54299.4726737097,73175.9207225618,36246.21104664,51021.2714354373,125242.131163497,6700.39919024563
